audio,text,text_cleaned
F0000000000_0000.wav,โกวาจี,โกวาจี
F0000000000_0001.wav,โกวาจี เล่น เพลง เชบออฟยู,โกวาจี เล่น เพลง Shape of You
F0000000000_0002.wav,โกวาจี เล่น เพลง ชูก้า,โกวาจี เล่น เพลง Sugar
F0000000000_0003.wav,โกวาจี เล่น เพลง สเตย์,โกวาจี เล่น เพลง Stay
F0000000000_0004.wav,โกวาจี เล่น เพลง คู่ ชีวิต,โกวาจี เล่น เพลง คู่ ชีวิต
F0000000000_0005.wav,โกวาจี เล่น เพลง อ้าว,โกวาจี เล่น เพลง อ้าว
F0000000000_0011.wav,เพลง ต่อ ไป อยู่ ใน อัลบั้ม อะไร,เพลง ต่อ ไป อยู่ ใน album อะไร
F0000000000_0018.wav,แรนดอม เพลง,random เพลง
F0000000000_0020.wav,โกวาจี เพิ่ม เสียง,โกวาจี เพิ่ม เสียง
F0000000000_0030.wav,เพิ่ม ใน เพลลิสต์ เพลง โปรด,เพิ่ม ใน playlist เพลง โปรด
F0000000000_0031.wav,เพิ่ม ใน เพลลิสต์ เพลง ก่อนนอน,เพิ่ม ใน playlist เพลง ก่อนนอน
F0000000000_0032.wav,เล่น เพลง จาก เพลลิสต์ เพลง ก่อน นอน,เล่น เพลง จาก playlist เพลง ก่อน นอน
F0000000000_0044.wav,พอส,pause
F0000000000_0045.wav,สต็อป,stop
F0000000000_0046.wav,ปิด โปรแกรม,ปิด program
F0000000000_0047.wav,โกวาจี บ๊ายบาย,โกวาจี bye bye
F0000000000_0048.wav,ชัท ดาว,Shut down
F0000000000_0051.wav,เปิด เพลง ไอแฮทยูไอเลิฟยู,เปิด เพลง I Hate U I Love U
F0000000000_0053.wav,เปิด เพลง เซเยส,เปิด เพลง say yes
F0000000000_0055.wav,เปิด เพลง เอฟเวอรี่ไทม,เปิด เพลง everytime
F0000000000_0056.wav,ขอ เพลง แคนท์เทคมายอายส์ออฟออฟยู,ขอ เพลง Can't Take My Eyes Off Of You
F0000000000_0060.wav,ขอ เพลง สเตย์วิฟมี,ขอ เพลง stay with me
F0000000000_0061.wav,เล่น เพลง จาก เพลลิสต์ เพลง โปรด,เล่น เพลง จาก playlist เพลง โปรด
F0000000000_0062.wav,เล่น เพลง จาก เพลลิสต์ เพลง อก หัก,เล่น เพลง จาก playlist เพลง อก หัก
F0000000000_0063.wav,เล่น เพลง จาก เพลลิสต์ เพลง ลูก ทุ่ง,เล่น เพลง จาก playlist เพลง ลูก ทุ่ง
F0000000000_0064.wav,เล่น เพลง ของ มารูนไฟฟ์,เล่น เพลง ของ Maroon 5
F0000000000_0065.wav,เล่น เพลง ของ ซูเปอร์จูเนียร์,เล่น เพลง ของ Super Junior
F0000000000_0066.wav,เล่น เพลง ของ ศิลปิน ริฮันน่า,เล่น เพลง ของ ศิลปิน Rihanna
